,Subject,CardSort_Unadj,Flanker_Unadj,IWRD_TOT,ProcSpeed_Unadj,ListSort_Unadj,PicVocab_Unadj,ReadEng_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,AngAffect_Unadj,AngHostil_Unadj,FearAffect_Unadj,PercStress_Unadj,Sadness_Unadj
174,153631,116.8,109.9,37,89.64,104.06,119.3331,117.9643,48.9,40.2,40.3,57.0,56.9,66.9,63.4,60.5
175,153934,143.94,121.39,38,138.72,126.18,116.4706,124.4921,74.6,52.2,52.7,41.9,47.2,42.6,33.0,38.9
176,154229,103.77,114.61,38,100.29,112.89,114.8764,121.1854,43.3,45.2,46.5,40.4,64.6,63.3,64.0,48.5
177,154431,118.84,125.19,37,119.52,100.43,109.15,111.53,74.6,71.6,52.7,28.6,36.6,32.9,22.4,34.2
178,154532,100.6,93.57,37,138.72,104.06,105.6663,103.5347,57.3,44.5,52.7,51.8,48.9,54.4,52.0,42.4
179,154734,123.61,129.71,39,98.16,108.06,126.5832,123.3659,68.2,68.1,55.7,35.4,36.6,46.9,29.6,39.0
180,154835,118.01,98.47,36,114.52,117.39,110.7845,110.9118,48.9,53.8,55.7,45.0,58.0,51.2,49.0,48.2
181,155635,118.5,118.19,38,128.07,121.89,118.29,115.52,48.8,50.0,42.7,54.1,58.3,52.3,52.2,49.9
182,155938,116.08,142.11,32,91.62,108.06,125.9663,121.2317,55.0,38.3,46.5,36.9,36.6,50.6,33.3,44.7
183,156031,110.99,105.15,39,135.98,108.06,118.477,113.2085,68.2,60.8,71.6,54.1,45.2,46.0,41.0,44.8
184,156334,119.76,121.42,36,127.97,100.43,111.15,103.91,65.6,51.7,52.7,48.7,40.5,47.2,50.7,45.6
185,156435,128.95,130.68,40,133.26,117.39,113.2644,122.3832,49.8,57.7,52.7,54.3,56.3,52.1,53.0,46.1
186,156536,129.77,124.78,38,154.69,121.89,140.7528,130.2654,57.1,58.7,50.2,44.6,48.5,46.7,48.3,43.9
187,157336,113.99,120.9,39,108.36,84.63,134.26,146.16,57.1,48.5,50.2,49.0,36.6,51.2,38.9,48.1
188,157942,112.04,106.78,35,111.11,117.39,114.8529,107.663,48.0,50.0,50.2,50.9,53.8,54.9,59.2,57.6
189,158035,130.0,126.63,31,119.85,84.63,117.53,111.91,48.0,46.2,35.0,54.9,40.9,48.6,51.0,53.4
190,158338,134.08,108.4,36,117.2,104.06,137.4778,145.6397,55.0,58.5,61.6,51.8,57.0,54.1,51.8,46.1
191,158843,114.06,114.53,34,99.14,126.18,116.597,114.7298,57.7,48.5,50.2,48.8,62.6,51.2,47.1,39.0
192,159239,109.54,119.7,39,112.98,121.89,122.73,112.69,51.7,53.8,50.8,28.6,54.0,32.9,43.6,34.2
193,159340,101.54,106.78,33,96.86,104.06,120.44,119.5,65.8,68.1,71.6,36.5,36.6,37.6,24.7,34.2
194,159946,125.0,131.35,36,154.69,108.06,122.8793,114.4808,53.1,48.3,42.0,65.6,56.7,61.6,55.9,55.0
195,160123,113.02,116.34,36,122.5,121.89,112.67,101.18,45.1,56.9,40.0,51.2,40.9,50.6,55.8,48.2
196,160729,118.99,107.18,37,128.25,117.39,110.1038,113.13,53.1,51.0,46.5,53.8,51.5,60.5,60.3,45.7
197,161630,136.1,127.53,36,110.12,117.39,117.62,123.93,62.8,55.8,58.5,38.1,40.5,41.7,27.7,39.4
198,161731,113.93,107.82,36,118.37,93.9,122.06,122.71,57.1,50.0,68.7,44.6,53.0,51.2,40.6,34.2
199,162026,119.39,111.98,37,125.07,93.9,116.91,118.85,55.0,44.5,50.2,34.6,50.3,32.9,46.5,34.2
200,162228,108.21,110.74,32,109.05,121.89,113.896,117.1148,58.9,57.7,50.2,31.6,36.6,37.9,28.9,34.2
201,162329,83.93,108.18,34,106.25,108.06,105.52,91.32,65.8,53.5,52.7,31.6,42.8,39.6,42.4,34.2
202,162935,123.42,123.33,34,106.57,104.06,117.2298,121.1766,37.0,46.5,33.2,54.0,48.0,51.2,43.5,55.0
203,163129,117.07,125.46,36,111.91,112.89,118.86,114.33,64.1,71.6,55.1,48.4,43.6,59.8,53.9,51.0
204,163432,115.43,119.39,35,116.72,112.89,120.72,116.51,62.8,58.6,55.7,45.6,47.1,51.2,44.0,46.1
